Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-3414.424	-3582.922	168.4982	0.4361433	1.391525	2.801692
6	-3409.497	-3577.744	168.2466	0.3784114	1.381074	3.026305
12	-3401.75	-3569.77	168.0204	0.4010761	1.38437	3.132831
18	-3415.487	-3584.005	168.5183	0.5024471	1.397574	2.71572
24	-3416.964	-3585.122	168.1577	0.4234376	1.423329	3.002293
30	-3412.316	-3581.472	169.1551	0.3806915	1.468915	2.41249
36	-3410.247	-3578.745	168.4976	0.3720122	1.424033	2.856973
42	-3415.962	-3584.378	168.4153	0.4408127	1.387843	2.849164
48	-3419.179	-3588.289	169.1103	0.4408127	1.505539	2.345591
54	-3429.623	-3599.268	169.6454	0.3835986	1.512602	2.064809
60	-3414.144	-3583.341	169.1968	0.5065069	1.507606	2.21656
66	-3416.697	-3585.874	169.1765	0.4567309	1.478978	2.30228
72	-3418.652	-3588.505	169.8529	0.3657551	1.739842	1.795533
78	-3421.662	-3591.361	169.6987	0.428461	1.763276	1.80192
84	-3419.431	-3589.103	169.6723	0.3976585	1.632414	1.948753
90	-3425.692	-3594.097	168.4047	0.4351308	1.431432	2.835392
96	-3426.241	-3594.655	168.4135	0.3879282	1.298135	2.964597
102	-3420.749	-3588.74	167.9916	0.4242272	1.208252	3.228437
108	-3426.758	-3594.139	167.3809	0.3983311	1.176871	3.633048
114	-3424.061	-3593.352	169.2904	0.3913231	1.494986	2.29676
120	-3425.665	-3594.331	168.6658	0.4266197	1.395343	2.707671
126	-3436.136	-3605.556	169.4205	0.3749793	1.575702	2.181907
132	-3424.94	-3593.039	168.0993	0.4111128	1.396579	3.06707
138	-3421.748	-3589.937	168.1887	0.3344276	1.349181	3.134619
144	-3428.953	-3597.221	168.2676	0.3401421	1.378787	3.062512
150	-3423.108	-3591.169	168.0611	0.3980513	1.305595	3.15892
156	-3421.339	-3589.195	167.8556	0.4728051	1.26005	3.227048
162	-3431.011	-3598.797	167.7861	0.4199844	1.210373	3.353036
168	-3431.531	-3598.705	167.1743	0.3842558	1.168355	3.773302
174	-3425.736	-3593.816	168.0799	0.4020478	1.262651	3.168694
180	-3432.628	-3600.583	167.9545	0.3538479	1.348436	3.249349
186	-3427.944	-3596.413	168.4696	0.3538479	1.309532	2.965551
192	-3420.456	-3588.632	168.1768	0.4475616	1.262459	3.060924
198	-3421.585	-3589.764	168.1797	0.4719375	1.238428	3.047999
204	-3418.042	-3586.345	168.3034	0.4356542	1.239117	3.011959
210	-3426.606	-3594.821	168.2149	0.3714999	1.428243	3.025378
216	-3421.52	-3590.466	168.9462	0.3721743	1.416936	2.586302
222	-3417.412	-3586.391	168.979	0.3652301	1.3982	2.586302
228	-3418.872	-3587.553	168.6815	0.389574	1.367155	2.758413
